Id,Name,Category,Created at,Updated at,Parent category,Partner
2466,Agile Development,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Project Management,
2465,VS Code,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Development Tools,
2464,Linux,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,UI/UX Design,
2463,Docker,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,DevOps and Version Control,
2462,Flask,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2461,JSON,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,API and Integration,
2460,REST APIs,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,API and Integration,
2459,Data Cleaning,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Analysis,
2458,GitHub,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,DevOps and Version Control,
2457,Git,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,DevOps and Version Control,
2456,Jupyter Notebooks,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2455,NumPy,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2454,Pandas,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2453,PyTorch,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2452,TensorFlow,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2451,Scikit-learn,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Science Tools,
2450,KPI Development,skills,2025-06-30 19:49:52 UTC,2025-06-30 19:49:52 UTC,Performance Management,
2449,Trend Analysis,skills,2025-06-30 19:49:52 UTC,2025-06-30 19:49:52 UTC,Market Analysis and Forecasting,
2448,Customer Journey Mapping,skills,2025-06-30 19:49:52 UTC,2025-06-30 19:49:52 UTC,GIS and Spatial Analysis,
